OBJECTID,GEO_ID_TRT,TRACT_LBL,E02001001,M02001001,E02001002,M02001002,E02001003,M02001003,E02001004,M02001004,E02001005,M02001005,E02001006,M02001006,E02001007,M02001007,E02001008,M02001008,E02001009,M02001009,E02001010,M02001010
301,53033030202,Tract 030202,6970,441,3417,547,1224,297,33,31,1014,279,34,39,405,202,843,544,94,131,749,510
302,53033030304,Tract 030304,3868,280,2245,315,427,361,0,12,700,246,48,136,141,161,307,219,72,49,235,188
303,53033030305,Tract 030305,5273,416,3528,406,597,239,27,31,949,320,2,4,52,58,118,88,27,34,91,84
304,53033030306,Tract 030306,5527,465,3398,450,631,295,104,99,636,170,0,17,338,217,420,175,43,62,377,156
305,53033030308,Tract 030308,7029,474,3557,462,753,357,40,68,837,279,553,318,566,246,723,345,157,163,566,297
306,53033030309,Tract 030309,5783,479,2850,346,1257,411,31,39,803,326,14,22,272,258,556,239,0,17,556,239
307,53033030310,Tract 030310,6298,428,3038,331,572,186,10,15,1554,231,59,73,139,154,926,355,190,172,736,313
308,53033030311,Tract 030311,5311,364,3094,342,502,100,60,66,590,216,116,120,471,259,478,198,45,59,433,202
309,53033030312,Tract 030312,4777,305,2979,304,514,187,78,70,429,208,277,180,106,83,394,171,0,12,394,171
310,53033030313,Tract 030313,4511,543,2383,477,823,241,21,22,517,227,292,249,156,175,319,198,22,32,297,197
311,53033030314,Tract 030314,4438,327,1845,268,897,306,16,20,894,288,5,11,504,331,277,196,15,24,262,184
312,53033030401,Tract 030401,9689,716,6440,928,996,662,259,271,617,286,172,230,418,437,787,368,47,57,740,360
313,53033030403,Tract 030403,4472,228,3153,421,156,111,44,51,784,316,0,12,17,27,318,291,221,288,97,69
314,53033030404,Tract 030404,4961,302,4111,341,94,88,77,83,272,133,0,12,52,52,355,240,128,186,227,136
315,53033030501,Tract 030501,1907,169,1251,165,117,63,0,12,154,66,154,136,90,102,141,58,2,4,139,57
316,53033030503,Tract 030503,5802,566,4040,387,516,281,96,131,408,229,10,18,332,401,400,198,16,31,384,180
317,53033030504,Tract 030504,4690,357,2934,381,460,234,132,182,432,247,94,80,326,274,312,139,9,14,303,139
318,53033030600,Tract 030600,5592,657,4078,932,47,63,137,142,569,270,33,50,472,429,256,226,0,17,256,226
319,53033030700,Tract 030700,4101,374,2870,417,442,254,25,26,286,159,47,63,1,5,430,168,0,12,430,168
320,53033030801,Tract 030801,7091,634,3812,687,404,172,170,110,191,134,287,342,1583,628,644,345,221,293,423,277
321,53033030802,Tract 030802,3588,410,2632,388,118,90,0,12,234,158,435,280,86,99,83,76,0,12,83,76
322,53033030901,Tract 030901,3583,292,2329,385,173,97,108,99,478,219,10,14,207,161,278,184,16,17,262,183
323,53033030902,Tract 030902,6455,266,3931,595,297,226,0,17,1118,208,125,119,383,314,601,329,0,17,601,329
324,53033031000,Tract 031000,4247,285,3331,252,184,140,7,12,479,138,0,12,0,12,246,110,17,27,229,103
325,53033031100,Tract 031100,7701,569,4688,561,377,189,365,111,327,167,466,438,611,438,867,434,189,271,678,326
326,53033031202,Tract 031202,6310,526,4593,534,108,102,1126,267,10,16,37,50,47,49,389,251,99,134,290,210
327,53033031204,Tract 031204,5976,457,5087,435,16,27,76,86,250,169,0,17,276,208,271,232,0,17,271,232
328,53033031205,Tract 031205,7252,490,4271,705,315,278,42,47,1347,398,20,93,270,237,987,472,54,66,933,466
329,53033031206,Tract 031206,5475,440,3615,466,83,70,8,14,1128,436,0,17,355,254,286,151,0,17,286,151
330,53033031301,Tract 031301,2670,265,2403,237,0,12,12,12,28,29,19,31,71,94,137,97,3,5,134,98
331,53033031302,Tract 031302,4253,257,3736,311,0,12,0,12,9,14,0,12,305,171,203,148,23,27,180,152
332,53033031400,Tract 031400,5943,343,5166,502,27,31,0,17,120,102,0,17,428,445,202,140,0,17,202,140
333,53033031501,Tract 031501,4083,415,3609,371,12,20,22,23,128,150,65,74,0,12,247,238,0,12,247,238
334,53033031502,Tract 031502,4219,204,3900,225,0,12,122,67,44,37,38,39,8,12,107,73,0,12,107,73
335,53033031601,Tract 031601,5573,331,4592,353,48,61,9,14,284,154,30,26,365,311,245,152,35,43,210,163
336,53033031603,Tract 031603,6515,354,5649,417,0,17,39,35,289,89,0,17,71,71,467,283,15,23,452,278
337,53033031604,Tract 031604,5777,277,4501,340,138,86,54,78,411,102,0,17,120,79,553,205,30,48,523,207
338,53033031605,Tract 031605,4200,435,3788,412,48,51,80,75,76,75,0,12,20,24,188,210,14,21,174,209
339,53033031703,Tract 031703,6829,430,5019,351,377,60,80,70,969,381,0,17,187,221,197,119,0,17,197,119
340,53033031704,Tract 031704,5728,299,3276,410,507,312,18,24,1082,337,84,84,494,326,267,157,28,34,239,153
341,53033031705,Tract 031705,4271,266,3052,345,219,149,60,69,597,116,21,34,0,12,322,280,0,12,322,280
342,53033031706,Tract 031706,7884,490,4842,443,430,121,0,17,1252,381,1,3,642,381,717,337,69,72,648,323
343,53033031800,Tract 031800,4719,320,3290,313,289,277,0,12,777,177,27,32,51,35,285,185,41,53,244,172
344,53033031903,Tract 031903,6801,415,5275,391,82,91,24,26,768,220,0,17,82,85,570,225,17,28,553,224
345,53033031904,Tract 031904,3417,291,3075,276,0,12,0,12,59,46,0,12,53,68,230,128,0,12,230,128
346,53033031906,Tract 031906,3958,281,3172,308,115,91,0,12,449,189,0,12,18,27,204,151,0,12,204,151
347,53033031907,Tract 031907,8159,513,4646,550,447,143,70,74,1615,337,51,53,227,211,1103,444,218,143,885,427
348,53033031908,Tract 031908,4375,466,2907,417,625,315,0,12,317,223,39,47,103,87,384,174,150,156,234,104
349,53033031909,Tract 031909,3080,193,2152,189,213,97,0,12,589,128,16,23,1,2,109,88,15,23,94,70
350,53033032002,Tract 032002,3191,259,3022,236,7,11,0,12,41,29,0,12,42,33,79,59,31,47,48,55
351,53033032003,Tract 032003,5547,425,5081,404,24,22,0,17,77,57,0,17,53,67,312,226,37,45,275,189
352,53033032005,Tract 032005,6877,542,5709,527,165,115,26,39,572,187,49,76,0,17,356,189,0,17,356,189
353,53033032006,Tract 032006,5612,312,4934,384,100,84,30,36,162,69,42,65,51,60,293,142,15,22,278,138
354,53033032007,Tract 032007,3385,297,2961,323,138,126,10,15,78,53,34,40,19,22,145,106,0,12,145,106
355,53033032008,Tract 032008,4658,248,4066,274,47,60,0,12,144,82,0,12,138,118,263,120,28,26,235,119
356,53033032010,Tract 032010,6071,358,5388,407,0,17,32,35,273,125,0,17,0,17,378,223,0,17,378,223
357,53033032011,Tract 032011,4435,208,3864,328,26,43,48,65,183,108,0,12,0,12,314,204,16,23,298,198
358,53033032102,Tract 032102,5150,498,4817,573,31,34,0,17,167,123,0,17,16,25,119,103,0,17,119,103
359,53033032103,Tract 032103,5397,552,4413,596,58,76,0,17,542,116,0,17,222,242,162,100,18,25,144,96
360,53033032104,Tract 032104,6172,579,4728,447,89,112,0,17,466,218,0,17,696,667,193,128,0,17,193,128
361,53033032203,Tract 032203,8032,419,5336,401,2,6,0,17,2448,257,0,17,57,68,189,120,25,29,164,117
362,53033032207,Tract 032207,3930,320,3025,368,15,16,0,12,701,200,0,12,0,12,189,94,0,12,189,94
363,53033032208,Tract 032208,9764,588,6957,603,215,142,38,47,2026,359,0,17,23,25,505,241,86,84,419,227
364,53033032210,Tract 032210,14540,697,8427,867,729,516,0,19,3954,676,2,4,394,339,1034,424,140,138,894,396
365,53033032211,Tract 032211,5124,227,3085,278,105,79,78,118,1504,195,0,17,9,14,343,170,7,12,336,165
366,53033032212,Tract 032212,8337,563,4783,385,67,49,0,17,2932,570,0,17,97,97,458,278,85,120,373,240
367,53033032213,Tract 032213,4337,197,3075,279,156,232,9,13,999,149,0,12,1,3,97,65,0,12,97,65
368,53033032214,Tract 032214,6706,330,3605,339,52,41,0,17,2821,312,23,28,0,17,205,93,10,16,195,89
369,53033032215,Tract 032215,5034,270,2792,205,13,20,0,17,2078,290,0,17,12,18,139,77,0,17,139,77
370,53033032307,Tract 032307,6093,430,5358,410,43,67,0,17,346,186,0,17,16,26,330,220,0,17,330,220
371,53033032309,Tract 032309,8249,457,4283,477,179,125,22,37,2999,472,0,17,117,105,649,258,155,153,494,210
372,53033032311,Tract 032311,6730,431,5832,405,106,132,0,17,268,125,0,17,19,30,505,311,82,134,423,284
373,53033032313,Tract 032313,6551,365,2494,415,190,138,0,17,3485,527,0,17,74,80,308,204,90,148,218,148
374,53033032315,Tract 032315,5280,284,4593,279,34,31,5,9,409,113,14,22,30,47,195,95,0,17,195,95
375,53033032316,Tract 032316,5654,279,4055,432,26,25,0,17,1372,262,30,45,8,12,163,83,0,17,163,83
376,53033032317,Tract 032317,6402,310,4860,311,43,65,0,17,920,236,0,17,77,93,502,305,9,15,493,305
377,53033032318,Tract 032318,6712,276,3849,304,80,95,0,17,2356,269,0,17,16,24,411,173,54,65,357,167
378,53033032319,Tract 032319,5941,322,5088,444,53,67,9,16,386,289,0,17,80,69,325,167,43,72,282,161
379,53033032320,Tract 032320,4535,181,4033,213,42,51,0,12,313,78,29,48,19,30,99,54,0,12,99,54
380,53033032321,Tract 032321,6365,275,3694,284,26,37,18,27,2148,210,12,19,37,87,430,184,8,14,422,184
381,53033032322,Tract 032322,3560,165,2756,157,27,29,0,12,610,153,0,12,2,4,165,86,0,12,165,86
382,53033032323,Tract 032323,5888,374,4268,460,36,41,31,52,1143,240,0,17,57,58,353,234,111,177,242,141
383,53033032324,Tract 032324,5292,417,3265,352,32,52,0,17,1724,372,0,17,162,211,109,99,0,17,109,99
384,53033032325,Tract 032325,5805,527,3155,437,331,303,54,88,1693,417,0,17,60,56,512,271,130,135,382,245
385,53033032326,Tract 032326,3960,233,3283,282,27,24,0,12,479,111,0,12,82,103,89,75,0,12,89,75
386,53033032327,Tract 032327,4201,216,3725,218,65,79,11,17,362,91,0,12,0,12,38,36,0,12,38,36
387,53033032328,Tract 032328,3490,206,2940,222,53,83,38,50,301,109,0,12,0,12,158,111,50,75,108,86
388,53033032329,Tract 032329,9101,514,4666,514,59,93,12,20,4009,368,0,17,39,47,316,205,86,76,230,178
389,53033032401,Tract 032401,6132,602,5745,647,2,5,0,17,205,190,0,17,2,7,178,154,1,3,177,154
390,53033032402,Tract 032402,6847,522,6386,551,86,86,54,67,86,57,0,17,97,75,138,81,0,17,138,81
391,53033032500,Tract 032500,5381,387,4994,389,54,53,9,15,119,66,39,46,15,20,151,64,0,17,151,64
392,53033032601,Tract 032601,3219,363,2777,320,0,12,0,12,139,104,36,57,25,40,242,279,0,12,242,279
393,53033032602,Tract 032602,14018,494,11406,542,156,112,54,54,1610,319,0,19,21,47,771,293,82,113,689,273
394,53033032702,Tract 032702,6720,456,6125,501,202,174,14,23,75,55,15,24,18,27,271,160,40,49,231,152
395,53033032703,Tract 032703,2285,206,2126,227,0,12,7,10,104,81,0,12,0,12,48,42,0,12,48,42
396,53033032704,Tract 032704,7051,360,6014,648,86,97,0,17,137,104,0,17,616,711,198,144,15,24,183,142
397,53033032800,Tract 032800,2347,219,2260,228,9,10,26,22,15,18,0,12,0,12,37,30,0,12,37,30
398,53033990100,Tract 990100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
