OBJECTID,GEO_ID_TRT,TRACT_LBL,E02001001,M02001001,E02001002,M02001002,E02001003,M02001003,E02001004,M02001004,E02001005,M02001005,E02001006,M02001006,E02001007,M02001007,E02001008,M02001008,E02001009,M02001009,E02001010,M02001010
126,53033011500,Tract 011500,4509,286,3548,344,206,123,0,12,465,165,0,12,58,70,232,102,0,12,232,102
127,53033011600,Tract 011600,7049,389,6535,378,71,45,129,82,136,110,0,17,30,36,148,108,0,17,148,108
128,53033011700,Tract 011700,5379,451,890,191,1456,352,30,37,2231,331,161,167,107,83,504,215,79,68,425,198
129,53033011800,Tract 011800,8520,773,1915,411,2655,724,32,44,2018,511,21,33,682,450,1197,441,32,45,1165,430
130,53033011900,Tract 011900,7649,612,2466,393,1773,431,113,152,2658,392,0,17,47,58,592,310,0,17,592,310
131,53033012000,Tract 012000,3622,232,2941,262,278,238,51,79,73,43,15,24,42,60,222,125,26,43,196,120
132,53033012100,Tract 012100,2660,141,2243,214,112,116,25,27,128,70,0,12,21,23,131,79,37,53,94,60
133,53033020100,Tract 020100,3279,262,2691,285,103,69,47,59,302,88,0,12,23,24,113,55,25,26,88,54
134,53033020200,Tract 020200,5395,322,4399,294,135,139,15,24,395,110,0,17,28,39,423,203,0,17,423,203
135,53033020300,Tract 020300,7128,466,4801,457,510,265,0,17,1179,300,243,377,122,117,273,155,0,17,273,155
136,53033020401,Tract 020401,3760,245,2555,203,344,254,63,50,543,142,0,12,0,12,255,125,0,12,255,125
137,53033020402,Tract 020402,5613,398,4273,377,41,49,5,10,533,143,0,17,320,326,441,265,56,85,385,204
138,53033020500,Tract 020500,6669,367,4655,481,153,139,4,8,971,238,24,39,484,377,378,143,93,84,285,123
139,53033020600,Tract 020600,3620,212,2591,264,201,162,23,38,582,205,36,51,43,53,144,85,0,12,144,85
140,53033020700,Tract 020700,3791,231,2373,383,392,194,8,13,685,268,20,30,148,130,165,81,7,11,158,81
141,53033020800,Tract 020800,4273,188,3553,194,52,37,26,43,409,96,0,12,11,17,222,149,0,12,222,149
142,53033020900,Tract 020900,3645,283,2475,312,268,232,3,8,621,204,12,28,85,101,181,94,0,12,181,94
143,53033021000,Tract 021000,6010,374,3613,456,505,307,68,73,1295,472,31,50,68,68,430,201,10,20,420,189
144,53033021100,Tract 021100,4485,352,2847,266,527,152,7,11,870,226,8,13,6,13,220,110,0,12,220,110
145,53033021300,Tract 021300,4047,368,3045,341,204,163,0,12,549,155,14,21,0,12,235,147,63,47,172,110
146,53033021400,Tract 021400,4064,248,3425,238,18,43,19,33,255,91,25,28,0,12,322,125,0,12,322,125
